type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,APARTMENT,1.0,0.0,Brussels,1030,80.0,JUST_RENOVATED,2.0,1,C,385000.0,4812.5
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,100.0,GOOD,2.0,1,D,388000.0,3880.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,54.0,GOOD,2.0,0,E,159000.0,2944.44
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,32.0,GOOD,2.0,0,F,169000.0,5281.25
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,90.0,TO_BE_DONE_UP,4.0,1,D,240000.0,2666.67
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,103.0,GOOD,2.0,0,B,385000.0,3737.86
APARTMENT,FLAT_STUDIO,1.0,1.0,Brussels,1030,30.0,GOOD,2.0,1,G,145000.0,4833.33
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,87.0,GOOD,2.0,0,D,290000.0,3333.33
APARTMENT,TRIPLEX,3.0,2.0,Brussels,1030,141.0,AS_NEW,2.0,1,D,545000.0,3865.25
APARTMENT,DUPLEX,2.0,1.0,Brussels,1030,120.0,GOOD,2.0,0,G,200000.0,1666.67
APARTMENT,APARTMENT,1.0,0.0,Brussels,1030,80.0,GOOD,2.0,0,G,210000.0,2625.0
APARTMENT,APARTMENT,3.0,1.0,Brussels,1030,140.0,GOOD,2.0,0,G,310000.0,2214.29
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,125.0,AS_NEW,2.0,1,D,750000.0,6000.0
APARTMENT,PENTHOUSE,3.0,3.0,Brussels,1030,156.0,AS_NEW,2.0,1,A,699000.0,4480.77
APARTMENT,GROUND_FLOOR,2.0,1.0,Brussels,1030,85.0,TO_RENOVATE,2.0,0,G,160000.0,1882.35
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,40.0,TO_RENOVATE,2.0,0,G,219000.0,5475.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,90.0,TO_BE_DONE_UP,2.0,1,G,239000.0,2655.56
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,85.0,TO_RENOVATE,2.0,1,D,280000.0,3294.12
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,65.0,GOOD,2.0,1,G,150000.0,2307.69
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,54.0,GOOD,2.0,1,G,265000.0,4907.41
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,89.0,GOOD,2.0,1,C,270000.0,3033.71
APARTMENT,APARTMENT,3.0,1.0,Brussels,1030,117.0,AS_NEW,4.0,0,D,289000.0,2470.09
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,50.0,JUST_RENOVATED,3.0,1,E,275000.0,5500.0
APARTMENT,DUPLEX,2.0,1.0,Brussels,1030,111.0,JUST_RENOVATED,3.0,0,E,420000.0,3783.78
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,97.0,AS_NEW,2.0,1,C,295000.0,3041.24
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,104.0,GOOD,2.0,1,B,350000.0,3365.38
APARTMENT,DUPLEX,2.0,2.0,Brussels,1030,125.0,GOOD,2.0,1,G,385000.0,3080.0
